time,lon,lat,precipitation
2025-06-01,88.05,21.05,1.23
2025-06-01,88.05,21.15000000000001,1.1349999
2025-06-01,88.05,21.250000000000004,1.26
2025-06-01,88.05,21.350000000000012,0.99499995
2025-06-01,88.05,21.450000000000006,0.63499993
2025-06-01,88.05,21.55,0.625
2025-06-01,88.05,21.65000000000001,0.32999998
2025-06-01,88.05,21.750000000000004,0.035
2025-06-01,88.05,21.850000000000012,0.034999996
2025-06-01,88.05,21.950000000000006,0.72499996
2025-06-01,88.05,22.05,4.3399997
2025-06-01,88.05,22.15000000000001,0.195
2025-06-01,88.05,22.250000000000004,0.06
2025-06-01,88.05,22.350000000000012,0.175
2025-06-01,88.05,22.450000000000006,0.01
2025-06-01,88.05,22.55,0.455
2025-06-01,88.05,22.65000000000001,0.015
2025-06-01,88.05,22.750000000000004,0.055
2025-06-01,88.05,22.850000000000012,0.585
2025-06-01,88.05,22.950000000000006,6.76
2025-06-01,88.05,23.05,3.8049998
2025-06-01,88.05,23.15000000000001,0.515
2025-06-01,88.05,23.250000000000004,0.015
2025-06-01,88.05,23.350000000000012,0.0
2025-06-01,88.05,23.450000000000006,0.0
2025-06-01,88.05,23.55,0.0
2025-06-01,88.05,23.65000000000001,0.0
2025-06-01,88.05,23.750000000000004,0.0
2025-06-01,88.05,23.850000000000012,0.0
2025-06-01,88.05,23.950000000000006,0.0
2025-06-01,88.05,24.05,0.10000001
2025-06-01,88.05,24.15000000000001,2.335
2025-06-01,88.05,24.250000000000004,2.8
2025-06-01,88.05,24.350000000000012,16.769999
2025-06-01,88.05,24.450000000000006,18.695
2025-06-01,88.05,24.55,23.979998
2025-06-01,88.05,24.65000000000001,31.635
2025-06-01,88.05,24.750000000000004,37.864998
2025-06-01,88.05,24.850000000000012,19.294998
2025-06-01,88.05,24.950000000000006,15.254999
2025-06-01,88.05,25.05,14.809999
2025-06-01,88.05,25.15000000000001,25.280003
2025-06-01,88.05,25.250000000000004,19.779999
2025-06-01,88.05,25.350000000000012,12.740001
2025-06-01,88.05,25.450000000000006,19.445
2025-06-01,88.05,25.55,50.784996
2025-06-01,88.05,25.65000000000001,16.0
2025-06-01,88.05,25.750000000000004,5.5800004
2025-06-01,88.05,25.850000000000012,4.96
2025-06-01,88.05,25.950000000000006,2.5549996
2025-06-01,88.05,26.05,0.63
2025-06-01,88.05,26.15000000000001,0.18
2025-06-01,88.05,26.250000000000004,0.59999996
2025-06-01,88.05,26.350000000000012,4.0699997
2025-06-01,88.05,26.450000000000006,20.57
2025-06-01,88.05,26.55,30.105
2025-06-01,88.05,26.65000000000001,35.070004
2025-06-01,88.05,26.750000000000004,26.434998
2025-06-01,88.05,26.850000000000012,24.619999
2025-06-01,88.05,26.950000000000006,14.695
2025-06-01,88.05,27.05,6.96
2025-06-01,88.05,27.15000000000001,4.0699997
2025-06-01,88.05,27.250000000000004,2.2450001
2025-06-01,88.05,27.350000000000012,0.04
2025-06-01,88.05,27.450000000000006,0.41500002
2025-06-01,88.05,27.55,0.355
2025-06-01,88.05,27.65000000000001,0.235
2025-06-01,88.05,27.750000000000004,4.6549997
2025-06-01,88.05,27.850000000000012,0.65999997
2025-06-01,88.05,27.950000000000006,1.915
2025-06-01,88.05,28.05,1.5899999
2025-06-01,88.05,28.15000000000001,0.26
2025-06-01,88.05,28.250000000000004,0.26
2025-06-01,88.05,28.350000000000012,0.0
2025-06-01,88.05,28.450000000000006,0.0
2025-06-01,88.05,28.55,0.0
2025-06-01,88.05,28.65000000000001,0.0
2025-06-01,88.05,28.750000000000004,0.0
2025-06-01,88.05,28.850000000000012,0.0
2025-06-01,88.05,28.950000000000006,0.0
2025-06-01,88.05,29.05,0.0
2025-06-01,88.05,29.15000000000001,0.0
2025-06-01,88.05,29.250000000000004,0.0
2025-06-01,88.05,29.350000000000012,0.0
2025-06-01,88.05,29.450000000000006,0.0
2025-06-01,88.05,29.55,0.0
2025-06-01,88.05,29.65000000000001,0.0
2025-06-01,88.05,29.750000000000004,0.0
2025-06-01,88.05,29.850000000000012,0.0
2025-06-01,88.05,29.950000000000006,0.0
2025-06-01,88.15,21.05,1.2599999
2025-06-01,88.15,21.15000000000001,1.2599999
2025-06-01,88.15,21.250000000000004,1.3549999
2025-06-01,88.15,21.350000000000012,0.83500004
2025-06-01,88.15,21.450000000000006,0.69499993
2025-06-01,88.15,21.55,0.9549999
2025-06-01,88.15,21.65000000000001,0.375
2025-06-01,88.15,21.750000000000004,0.13999999
2025-06-01,88.15,21.850000000000012,0.11
2025-06-01,88.15,21.950000000000006,0.055
2025-06-01,88.15,22.05,0.175
2025-06-01,88.15,22.15000000000001,2.725
2025-06-01,88.15,22.250000000000004,1.2849998
2025-06-01,88.15,22.350000000000012,0.24999999
2025-06-01,88.15,22.450000000000006,0.45999998
2025-06-01,88.15,22.55,1.035
2025-06-01,88.15,22.65000000000001,0.515
2025-06-01,88.15,22.750000000000004,0.565
2025-06-01,88.15,22.850000000000012,0.455
2025-06-01,88.15,22.950000000000006,4.4900002
2025-06-01,88.15,23.05,1.425
2025-06-01,88.15,23.15000000000001,0.475
2025-06-01,88.15,23.250000000000004,0.02
2025-06-01,88.15,23.350000000000012,0.0
2025-06-01,88.15,23.450000000000006,0.0
2025-06-01,88.15,23.55,0.005
2025-06-01,88.15,23.65000000000001,0.08
2025-06-01,88.15,23.750000000000004,0.0
2025-06-01,88.15,23.850000000000012,0.0
2025-06-01,88.15,23.950000000000006,0.0
2025-06-01,88.15,24.05,0.044999998
2025-06-01,88.15,24.15000000000001,1.2349999
2025-06-01,88.15,24.250000000000004,1.6149999
2025-06-01,88.15,24.350000000000012,10.205001
2025-06-01,88.15,24.450000000000006,12.459999
2025-06-01,88.15,24.55,17.09
2025-06-01,88.15,24.65000000000001,26.830002
2025-06-01,88.15,24.750000000000004,31.32
2025-06-01,88.15,24.850000000000012,18.945
2025-06-01,88.15,24.950000000000006,15.779999
2025-06-01,88.15,25.05,15.690001
2025-06-01,88.15,25.15000000000001,24.589996
2025-06-01,88.15,25.250000000000004,18.259996
2025-06-01,88.15,25.350000000000012,12.619999
2025-06-01,88.15,25.450000000000006,19.6
2025-06-01,88.15,25.55,54.180004
2025-06-01,88.15,25.65000000000001,25.32
2025-06-01,88.15,25.750000000000004,9.62
2025-06-01,88.15,25.850000000000012,6.6499996
2025-06-01,88.15,25.950000000000006,3.0549998
2025-06-01,88.15,26.05,0.62999994
2025-06-01,88.15,26.15000000000001,0.66499996
2025-06-01,88.15,26.250000000000004,1.2049999
2025-06-01,88.15,26.350000000000012,4.135
2025-06-01,88.15,26.450000000000006,9.54
2025-06-01,88.15,26.55,18.985
2025-06-01,88.15,26.65000000000001,27.835
2025-06-01,88.15,26.750000000000004,27.439999
2025-06-01,88.15,26.850000000000012,24.2
2025-06-01,88.15,26.950000000000006,16.574999
2025-06-01,88.15,27.05,8.965
2025-06-01,88.15,27.15000000000001,5.9249997
2025-06-01,88.15,27.250000000000004,3.3899999
